"","RefSeq_accession_number","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length"
"675","NP_001509","A8K9W7","unreviewed","A8K9W7_HUMAN","cDNA FLJ77440, highly similar to Homo sapiens general transcription factor II, i (GTF2I), transcript variant 2, mRNA","","Homo sapiens (Human)",978
"676","NP_001509","Q499G6","unreviewed","Q499G6_HUMAN","General transcription factor II, i","GTF2I","Homo sapiens (Human)",976
"677","NP_001509","X5D2J9","unreviewed","X5D2J9_HUMAN","General transcription factor IIi isoform D","GTF2I","Homo sapiens (Human)",957
"678","NP_001003795","Q6EKJ0","reviewed","GTD2B_HUMAN","General transcription factor II-I repeat domain-containing protein 2B (GTF2I repeat domain-containing protein 2B) (Transcription factor GTF2IRD2-beta)","GTF2IRD2B","Homo sapiens (Human)",949
"679","NP_775808","Q86UP8","reviewed","GTD2A_HUMAN","General transcription factor II-I repeat domain-containing protein 2A (GTF2I repeat domain-containing protein 2A) (Transcription factor GTF2IRD2-alpha)","GTF2IRD2 GTF2IRD2A","Homo sapiens (Human)",949
"680","NP_938149","Q14697","reviewed","GANAB_HUMAN","Neutral alpha-glucosidase AB (EC 3.2.1.207) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)","GANAB G2AN KIAA0088","Homo sapiens (Human)",944
"681","NP_938148","Q14697","reviewed","GANAB_HUMAN","Neutral alpha-glucosidase AB (EC 3.2.1.207) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)","GANAB G2AN KIAA0088","Homo sapiens (Human)",944
"682","NP_938148","V9HWJ0","unreviewed","V9HWJ0_HUMAN","Epididymis secretory sperm binding protein Li 164nA","HEL-S-164nA","Homo sapiens (Human)",944
"683","NP_009041","Q99973","reviewed","TEP1_HUMAN","Telomerase protein component 1 (Telomerase-associated protein 1) (Telomerase protein 1) (p240) (p80 telomerase homolog)","TEP1 TLP1 TP1","Homo sapiens (Human)",2627
"684","NP_001258152","A6NGQ3","unreviewed","A6NGQ3_HUMAN","non-specific serine/threonine protein kinase (EC 2.7.11.1)","OBSCN","Homo sapiens (Human)",8923
"685","NP_443075","Q5VST9","reviewed","OBSCN_HUMAN","Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)","OBSCN KIAA1556 KIAA1639","Homo sapiens (Human)",7968
"686","NP_695012","P22314","reviewed","UBA1_HUMAN","Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)","UBA1 A1S9T UBE1","Homo sapiens (Human)",1058
"687","NP_695012","A0A024R1A3","unreviewed","A0A024R1A3_HUMAN","E1 ubiquitin-activating enzyme (EC 6.2.1.45) (Ubiquitin-activating enzyme E1)","","Homo sapiens (Human)",1058
"688","NP_002152","P41252","reviewed","SYIC_HUMAN","Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IRS) (IleRS)","IARS1 IARS","Homo sapiens (Human)",1262
"689","NP_002152","Q6P0M4","unreviewed","Q6P0M4_HUMAN","isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase)","IARS","Homo sapiens (Human)",1055
"690","NP_002152","Q7L4K8","unreviewed","Q7L4K8_HUMAN","IARS protein","IARS","Homo sapiens (Human)",481
"691","NP_940978","O00468","reviewed","AGRIN_HUMAN","Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]","AGRN AGRIN","Homo sapiens (Human)",2068
"692","NP_000292","P00747","reviewed","PLMN_HUMAN","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Homo sapiens (Human)",810
"693","NP_005568","P08519","reviewed","APOA_HUMAN","Apolipoprotein(a) (Apo(a)) (Lp(a)) (EC 3.4.21.-)","LPA","Homo sapiens (Human)",2040
"694","NP_829884","Q8IUD2","reviewed","RB6I2_HUMAN","ELKS/Rab6-interacting/CAST family member 1 (ERC-1) (Rab6-interacting protein 2)","ERC1 ELKS KIAA1081 RAB6IP2","Homo sapiens (Human)",1116
"695","NP_056391","O15083","reviewed","ERC2_HUMAN","ERC protein 2","ERC2 KIAA0378","Homo sapiens (Human)",957
"696","NP_055454","Q6PGP7","reviewed","SKI3_HUMAN","Superkiller complex protein 3 (Ski3) (Tetratricopeptide repeat protein 37) (TPR repeat protein 37) (Tricho-hepatic-enteric syndrome protein) (Thespin)","SKIC3 KIAA0372 TTC37","Homo sapiens (Human)",1564
"697","NP_064502","Q9P2J5","reviewed","SYLC_HUMAN","Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)","LARS1 KIAA1352 LARS","Homo sapiens (Human)",1176
"698","NP_005210","O60610","reviewed","DIAP1_HUMAN","Protein diaphanous homolog 1 (Diaphanous-related formin-1) (DRF1)","DIAPH1 DIAP1","Homo sapiens (Human)",1272
"699","NP_005210","Q6URC4","unreviewed","Q6URC4_HUMAN","Diaphanous 1","","Homo sapiens (Human)",1272
"700","NP_036533","O15031","reviewed","PLXB2_HUMAN","Plexin-B2 (MM1)","PLXNB2 KIAA0315","Homo sapiens (Human)",1838
"701","NP_000177","P08603","reviewed","CFAH_HUMAN","Complement factor H (H factor 1)","CFH HF HF1 HF2","Homo sapiens (Human)",1231
"702","NP_002104","Q03591","reviewed","FHR1_HUMAN","Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (FHL-1) (H-factor-like 1) (H36)","CFHR1 CFHL CFHL1 CFHL1P CFHR1P FHR1 HFL1 HFL2","Homo sapiens (Human)",330
"703","NP_066303","Q02985","reviewed","FHR3_HUMAN","Complement factor H-related protein 3 (FHR-3) (DOWN16) (H factor-like protein 3)","CFHR3 CFHL3 FHR3","Homo sapiens (Human)",330
"704","NP_005657","P36980","reviewed","FHR2_HUMAN","Complement factor H-related protein 2 (FHR-2) (DDESK59) (H factor-like 3) (H factor-like protein 2)","CFHR2 CFHL2 FHR2 HFL3","Homo sapiens (Human)",270
"705","NP_001188479","Q92496","reviewed","FHR4_HUMAN","Complement factor H-related protein 4 (FHR-4)","CFHR4 CFHL4 FHR4","Homo sapiens (Human)",578
"706","NP_003226","P01266","reviewed","THYG_HUMAN","Thyroglobulin (Tg)","TG","Homo sapiens (Human)",2768
"707","NP_055951","Q9NY15","reviewed","STAB1_HUMAN","Stabilin-1 (Fasciclin, EGF-like, laminin-type EGF-like and link domain-containing scavenger receptor 1) (FEEL-1) (MS-1 antigen)","STAB1 FEEL1 KIAA0246","Homo sapiens (Human)",2570
"708","NP_001014972","Q14966","reviewed","ZN638_HUMAN","Zinc finger protein 638 (Cutaneous T-cell lymphoma-associated antigen se33-1) (CTCL-associated antigen se33-1) (Nuclear protein 220) (Zinc finger matrin-like protein)","ZNF638 NP220 ZFML","Homo sapiens (Human)",1978
"709","NP_009123","Q9Y5B9","reviewed","SP16H_HUMAN","FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16) (hSPT16)","SUPT16H FACT140 FACTP140","Homo sapiens (Human)",1047
"710","NP_005106","Q14764","reviewed","MVP_HUMAN","Major vault protein (MVP) (Lung resistance-related protein)","MVP LRP","Homo sapiens (Human)",893
"711","NP_005106","X5D2M8","unreviewed","X5D2M8_HUMAN","Major vault protein","MVP hCG_1985644","Homo sapiens (Human)",893
"712","NP_055950","Q92621","reviewed","NU205_HUMAN","Nuclear pore complex protein Nup205 (205 kDa nucleoporin) (Nucleoporin Nup205)","NUP205 C7orf14 KIAA0225","Homo sapiens (Human)",2012
"713","NP_055205","Q7KZF4","reviewed","SND1_HUMAN","Staphylococcal nuclease domain-containing protein 1 (EC 3.1.31.1) (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator)","SND1 TDRD11","Homo sapiens (Human)",910
"714","NP_055205","A0A140VK49","unreviewed","A0A140VK49_HUMAN","Staphylococcal nuclease domain-containing protein (EC 3.1.31.1)","SND1 hCG_32326","Homo sapiens (Human)",910
"715","NP_060542","Q9H583","reviewed","HEAT1_HUMAN","HEAT repeat-containing protein 1 (Protein BAP28) (U3 small nucleolar RNA-associated protein 10 homolog) [Cleaved into: HEAT repeat-containing protein 1, N-terminally processed]","HEATR1 BAP28 UTP10","Homo sapiens (Human)",2144
"716","NP_060542","A2VDI1","unreviewed","A2VDI1_HUMAN","HEAT repeat-containing protein 1","HEATR1","Homo sapiens (Human)",1502
"717","NP_060542","B2RWN5","unreviewed","B2RWN5_HUMAN","HEAT repeat-containing protein 1","HEATR1","Homo sapiens (Human)",2144
"718","NP_006286","P26640","reviewed","SYVC_HUMAN","Valine--tRNA ligase (EC 6.1.1.9) (Protein G7a) (Valyl-tRNA synthetase) (ValRS)","VARS1 G7A VARS VARS2","Homo sapiens (Human)",1264
"719","NP_006286","A0A024RCN6","unreviewed","A0A024RCN6_HUMAN","Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase)","","Homo sapiens (Human)",1264
"720","NP_065073","Q5TH69","reviewed","BIG3_HUMAN","Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (ARFGEF family member 3)","ARFGEF3 BIG3 C6orf92 KIAA1244","Homo sapiens (Human)",2177
"721","NP_056281","Q9H3S7","reviewed","PTN23_HUMAN","Tyrosine-protein phosphatase non-receptor type 23 (EC 3.1.3.48) (His domain-containing protein tyrosine phosphatase) (HD-PTP) (Protein tyrosine phosphatase TD14) (PTP-TD14)","PTPN23 KIAA1471","Homo sapiens (Human)",1636
"722","NP_057535","P53618","reviewed","COPB_HUMAN","Coatomer subunit beta (Beta-coat protein) (Beta-COP)","COPB1 COPB MSTP026","Homo sapiens (Human)",953
"723","NP_000087","P00450","reviewed","CERU_HUMAN","Ceruloplasmin (EC 1.16.3.1) (Ferroxidase)","CP","Homo sapiens (Human)",1065
"724","NP_000087","A5PL27","unreviewed","A5PL27_HUMAN","CP protein (Ceruloplasmin (Ferroxidase)) (Ceruloplasmin (Ferroxidase), isoform CRA_a)","CP hCG_1781201","Homo sapiens (Human)",1065
"725","NP_004578","Q9P2E9","reviewed","RRBP1_HUMAN","Ribosome-binding protein 1 (180 kDa ribosome receptor homolog) (RRp) (ES/130-related protein) (Ribosome receptor protein)","RRBP1 KIAA1398","Homo sapiens (Human)",1410
"726","NP_065972","Q8N4C6","reviewed","NIN_HUMAN","Ninein (hNinein) (Glycogen synthase kinase 3 beta-interacting protein) (GSK3B-interacting protein)","NIN KIAA1565","Homo sapiens (Human)",2090
"727","NP_065972","Q5XUU0","unreviewed","Q5XUU0_HUMAN","Ninein isoform 6","","Homo sapiens (Human)",1989
"728","NP_002435","P26038","reviewed","MOES_HUMAN","Moesin (Membrane-organizing extension spike protein)","MSN","Homo sapiens (Human)",577
"729","NP_002435","V9HWC0","unreviewed","V9HWC0_HUMAN","Epididymis luminal protein 70 (Moesin, isoform CRA_a)","HEL70 MSN hCG_18939","Homo sapiens (Human)",577
"730","NP_003370","P15311","reviewed","EZRI_HUMAN","Ezrin (Cytovillin) (Villin-2) (p81)","EZR VIL2","Homo sapiens (Human)",586
"731","NP_002897","P35241","reviewed","RADI_HUMAN","Radixin","RDX","Homo sapiens (Human)",583
"732","NP_002897","B0YJ88","unreviewed","B0YJ88_HUMAN","Radixin (Radixin, isoform CRA_b) (cDNA, FLJ93349, Homo sapiens radixin (RDX), mRNA)","RDX hCG_39182","Homo sapiens (Human)",583
"733","NP_002897","Q6PKD3","unreviewed","Q6PKD3_HUMAN","RDX protein","RDX","Homo sapiens (Human)",339
"734","NP_001247425","P35241","reviewed","RADI_HUMAN","Radixin","RDX","Homo sapiens (Human)",583
"735","NP_060783","Q86U86","reviewed","PB1_HUMAN","Protein polybromo-1 (hPB1) (BRG1-associated factor 180) (BAF180) (Polybromo-1D)","PBRM1 BAF180 PB1","Homo sapiens (Human)",1689
"736","NP_002999","Q02383","reviewed","SEMG2_HUMAN","Semenogelin-2 (Semenogelin II) (SGII)","SEMG2","Homo sapiens (Human)",582
"737","NP_001146","P08133","reviewed","ANXA6_HUMAN","Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)","ANXA6 ANX6","Homo sapiens (Human)",673
"738","NP_001146","A0A0S2Z2Z6","unreviewed","A0A0S2Z2Z6_HUMAN","Annexin","ANXA6","Homo sapiens (Human)",673
"739","NP_056090","Q2M389","reviewed","WASC4_HUMAN","WASH complex subunit 4 (Strumpellin and WASH-interacting protein) (SWIP) (WASH complex subunit SWIP)","WASHC4 KIAA1033","Homo sapiens (Human)",1173
"740","NP_073616","Q9H8H2","reviewed","DDX31_HUMAN","Probable ATP-dependent RNA helicase DDX31 (EC 3.6.4.13) (DEAD box protein 31) (Helicain)","DDX31","Homo sapiens (Human)",851
"741","NP_003852","Q96JK2","reviewed","DCAF5_HUMAN","DDB1- and CUL4-associated factor 5 (Breakpoint cluster region protein 2) (BCRP2) (WD repeat-containing protein 22)","DCAF5 BCRG2 KIAA1824 WDR22","Homo sapiens (Human)",942
"742","NP_001193814","O60716","reviewed","CTND1_HUMAN","Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas))","CTNND1 KIAA0384","Homo sapiens (Human)",968
"743","NP_001193813","O60716","reviewed","CTND1_HUMAN","Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas))","CTNND1 KIAA0384","Homo sapiens (Human)",968
"744","NP_001322","O60716","reviewed","CTND1_HUMAN","Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas))","CTNND1 KIAA0384","Homo sapiens (Human)",968
"745","NP_001078935","O60716","reviewed","CTND1_HUMAN","Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas))","CTNND1 KIAA0384","Homo sapiens (Human)",968
"746","NP_005378","P52948","reviewed","NUP98_HUMAN","Nuclear pore complex protein Nup98-Nup96 (EC 3.4.21.-) [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98) (Nup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96) (Nup96)]","NUP98 ADAR2","Homo sapiens (Human)",1817
"747","NP_001186308","Q92538","reviewed","GBF1_HUMAN","Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 (BFA-resistant GEF 1)","GBF1 KIAA0248","Homo sapiens (Human)",1859
"748","NP_004184","Q92538","reviewed","GBF1_HUMAN","Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 (BFA-resistant GEF 1)","GBF1 KIAA0248","Homo sapiens (Human)",1859
"749","NP_001155901","Q8WUM4","reviewed","PDC6I_HUMAN","Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95)","PDCD6IP AIP1 ALIX KIAA1375","Homo sapiens (Human)",868
"750","NP_037506","Q8WUM4","reviewed","PDC6I_HUMAN","Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95)","PDCD6IP AIP1 ALIX KIAA1375","Homo sapiens (Human)",868
"751","NP_002334","P02788","reviewed","TRFL_HUMAN","Lactotransferrin (Lactoferrin) (EC 3.4.21.-) (Growth-inhibiting protein 12) (Talalactoferrin) [Cleaved into: Lactoferricin-H (Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C]","LTF GIG12 LF","Homo sapiens (Human)",710
"752","NP_002334","V9HWI4","unreviewed","V9HWI4_HUMAN","Lactotransferrin","HEL110","Homo sapiens (Human)",710
"753","NP_001032412","Q9BYK8","reviewed","HELZ2_HUMAN","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)","HELZ2 KIAA1769 PRIC285","Homo sapiens (Human)",2649
"754","NP_003282","P29144","reviewed","TPP2_HUMAN","Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II)","TPP2","Homo sapiens (Human)",1249
"755","NP_004482","Q9NRY4","reviewed","RHG35_HUMAN","Rho GTPase-activating protein 35 (Glucocorticoid receptor DNA-binding factor 1) (Glucocorticoid receptor repression factor 1) (GRF-1) (Rho GAP p190A) (p190-A)","ARHGAP35 GRF1 GRLF1 KIAA1722 P190A p190ARHOGAP","Homo sapiens (Human)",1499
"756","NP_003592","O60264","reviewed","SMCA5_HUMAN","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)","SMARCA5 SNF2H WCRF135","Homo sapiens (Human)",1052
"757","NP_003060","P28370","reviewed","SMCA1_HUMAN","Probable global transcription activator SNF2L1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA1) (Nucleosome-remodeling factor subunit SNF2L) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1)","SMARCA1 SNF2L SNF2L1","Homo sapiens (Human)",1054
"758","NP_055644","Q7L014","reviewed","DDX46_HUMAN","Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46) (PRP5 homolog)","DDX46 KIAA0801","Homo sapiens (Human)",1031
"759","NP_009117","Q9BV73","reviewed","CP250_HUMAN","Centrosome-associated protein CEP250 (250 kDa centrosomal protein) (Cep250) (Centrosomal Nek2-associated protein 1) (C-Nap1) (Centrosomal protein 2)","CEP250 CEP2 CNAP1","Homo sapiens (Human)",2442
"760","NP_001123892","Q8TAQ2","reviewed","SMRC2_HUMAN","SWI/SNF complex subunit SMARCC2 (BRG1-associated factor 170) (BAF170) (SWI/SNF complex 170 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2)","SMARCC2 BAF170","Homo sapiens (Human)",1214
"761","NP_003066","Q8TAQ2","reviewed","SMRC2_HUMAN","SWI/SNF complex subunit SMARCC2 (BRG1-associated factor 170) (BAF170) (SWI/SNF complex 170 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2)","SMARCC2 BAF170","Homo sapiens (Human)",1214
"762","NP_003065","Q92922","reviewed","SMRC1_HUMAN","SWI/SNF complex subunit SMARCC1 (BRG1-associated factor 155) (BAF155) (SWI/SNF complex 155 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 1)","SMARCC1 BAF155","Homo sapiens (Human)",1105
"763","NP_003065","Q58EY4","unreviewed","Q58EY4_HUMAN","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1","SMARCC1","Homo sapiens (Human)",1105
"764","NP_003473","O14686","reviewed","KMT2D_HUMAN","Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.364) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2)","KMT2D ALR MLL2 MLL4","Homo sapiens (Human)",5537
"765","NP_003473","Q59FG6","unreviewed","Q59FG6_HUMAN","[histone H3]-lysine(4) N-methyltransferase (EC 2.1.1.364)","","Homo sapiens (Human)",2704
"766","NP_003473","Q6PIA1","unreviewed","Q6PIA1_HUMAN","[histone H3]-lysine(4) N-methyltransferase (EC 2.1.1.364)","MLL2","Homo sapiens (Human)",395
"767","NP_733751","Q8NEZ4","reviewed","KMT2C_HUMAN","Histone-lysine N-methyltransferase 2C (Lysine N-methyltransferase 2C) (EC 2.1.1.364) (Homologous to ALR protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 3)","KMT2C HALR KIAA1506 MLL3","Homo sapiens (Human)",4911
"768","NP_061322","P43243","reviewed","MATR3_HUMAN","Matrin-3","MATR3 KIAA0723","Homo sapiens (Human)",847
"769","NP_061322","A0A0R4J2E8","unreviewed","A0A0R4J2E8_HUMAN","Matrin-3","MATR3","Homo sapiens (Human)",847
"770","NP_061322","Q9H4N1","unreviewed","Q9H4N1_HUMAN","Clone CDABP0107 mRNA sequence","","Homo sapiens (Human)",407
"771","NP_001181885","P43243","reviewed","MATR3_HUMAN","Matrin-3","MATR3 KIAA0723","Homo sapiens (Human)",847
"772","NP_055535","Q9H2G2","reviewed","SLK_HUMAN","STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK) (EC 2.7.11.1) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2)","SLK KIAA0204 STK2","Homo sapiens (Human)",1235
"773","NP_005981","O94804","reviewed","STK10_HUMAN","Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase)","STK10 LOK","Homo sapiens (Human)",968
"774","NP_002532","Q02218","reviewed","ODO1_HUMAN","2-oxoglutarate dehydrogenase complex component E1 (E1o) (OGDC-E1) (OGDH-E1) (EC 1.2.4.2) (2-oxoglutarate dehydrogenase, mitochondrial) (Alpha-ketoglutarate dehydrogenase) (Alpha-KGDH-E1) (Thiamine diphosphate (ThDP)-dependent 2-oxoglutarate dehydrogenase)","OGDH","Homo sapiens (Human)",1023
"775","NP_002532","B4E3E9","unreviewed","B4E3E9_HUMAN","cDNA FLJ59657, highly similar to 2-oxoglutarate dehydrogenase E1 component, mitochondrial","","Homo sapiens (Human)",818
"776","NP_001158508","Q02218","reviewed","ODO1_HUMAN","2-oxoglutarate dehydrogenase complex component E1 (E1o) (OGDC-E1) (OGDH-E1) (EC 1.2.4.2) (2-oxoglutarate dehydrogenase, mitochondrial) (Alpha-ketoglutarate dehydrogenase) (Alpha-KGDH-E1) (Thiamine diphosphate (ThDP)-dependent 2-oxoglutarate dehydrogenase)","OGDH","Homo sapiens (Human)",1023
"777","NP_001158508","B4E3E9","unreviewed","B4E3E9_HUMAN","cDNA FLJ59657, highly similar to 2-oxoglutarate dehydrogenase E1 component, mitochondrial","","Homo sapiens (Human)",818
